# x 	 y
0 	 0
1 	 0.841471
2 	 0.909297
3 	 0.14112
4 	 -0.756802
5 	 -0.958924
6 	 -0.279415
7 	 0.656987
8 	 0.989358
9 	 0.412118
10 	 -0.544021
11 	 -0.99999
12 	 -0.536573
13 	 0.420167
14 	 0.990607
15 	 0.650288
16 	 -0.287903
17 	 -0.961397
18 	 -0.750987
19 	 0.149877


#Cubic sub-spline
# x 	 ySub 	 yCubic 	 yQuad
12 	 -0.536573 	 -0.536573 	 -0.536573
12.05 	 -0.509696 	 -0.493938 	 -0.49209
12.1 	 -0.475415 	 -0.449976 	 -0.447254
12.15 	 -0.434596 	 -0.404818 	 -0.402064
12.2 	 -0.388106 	 -0.358592 	 -0.356522
12.25 	 -0.336811 	 -0.31143 	 -0.310627
12.3 	 -0.281577 	 -0.26346 	 -0.264379
12.35 	 -0.223271 	 -0.214813 	 -0.217777
12.4 	 -0.162758 	 -0.165618 	 -0.170823
12.45 	 -0.100905 	 -0.116005 	 -0.123516
12.5 	 -0.0385789 	 -0.0661051 	 -0.075855
12.55 	 0.0233551 	 -0.0160467 	 -0.0278415
12.6 	 0.0840304 	 0.0340399 	 0.0205251
12.65 	 0.142581 	 0.0840249 	 0.0692447
12.7 	 0.19814 	 0.133778 	 0.118317
12.75 	 0.249841 	 0.18317 	 0.167743
12.8 	 0.296819 	 0.232071 	 0.217522
12.85 	 0.338207 	 0.280351 	 0.267653
12.9 	 0.373138 	 0.327881 	 0.318138
12.95 	 0.400747 	 0.374529 	 0.368976
13 	 0.420167 	 0.420167 	 0.420167
13.05 	 0.438191 	 0.464673 	 0.470392
13.1 	 0.461702 	 0.507962 	 0.518333
13.15 	 0.489971 	 0.549955 	 0.563989
13.2 	 0.522265 	 0.590576 	 0.60736
13.25 	 0.557856 	 0.629746 	 0.648447
13.3 	 0.596013 	 0.667389 	 0.68725
13.35 	 0.636005 	 0.703426 	 0.723768
13.4 	 0.677102 	 0.737781 	 0.758001
13.45 	 0.718574 	 0.770376 	 0.78995
13.5 	 0.75969 	 0.801134 	 0.819614
13.55 	 0.799721 	 0.829976 	 0.846994
13.6 	 0.837934 	 0.856826 	 0.872089
13.65 	 0.873601 	 0.881607 	 0.8949
13.7 	 0.905991 	 0.90424 	 0.915426
13.75 	 0.934373 	 0.924648 	 0.933668
13.8 	 0.958017 	 0.942754 	 0.949625
13.85 	 0.976193 	 0.958481 	 0.963297
13.9 	 0.98817 	 0.97175 	 0.974685
13.95 	 0.993219 	 0.982485 	 0.983788
14 	 0.990607 	 0.990607 	 0.990607
14.05 	 0.983166 	 0.996061 	 0.995149
14.1 	 0.974263 	 0.998872 	 0.997422
14.15 	 0.963972 	 0.999086 	 0.997426
14.2 	 0.952371 	 0.996749 	 0.99516
14.25 	 0.939534 	 0.991908 	 0.990625
14.3 	 0.925537 	 0.984609 	 0.98382
14.35 	 0.910457 	 0.974899 	 0.974747
14.4 	 0.894369 	 0.962823 	 0.963404
14.45 	 0.877349 	 0.948429 	 0.949792
14.5 	 0.859473 	 0.931761 	 0.933911
14.55 	 0.840816 	 0.912868 	 0.91576
14.6 	 0.821454 	 0.891795 	 0.89534
14.65 	 0.801464 	 0.868588 	 0.872651
14.7 	 0.78092 	 0.843293 	 0.847693
14.75 	 0.759899 	 0.815958 	 0.820465
14.8 	 0.738477 	 0.786628 	 0.790968
14.85 	 0.716728 	 0.75535 	 0.759202
14.9 	 0.69473 	 0.722169 	 0.725166
14.95 	 0.672558 	 0.687133 	 0.688862
15 	 0.650288 	 0.650288 	 0.650288
15.05 	 0.624187 	 0.611693 	 0.610219
15.1 	 0.591017 	 0.571461 	 0.569431
15.15 	 0.551589 	 0.529721 	 0.527922
15.2 	 0.506718 	 0.486597 	 0.485693
15.25 	 0.457217 	 0.442218 	 0.442744
15.3 	 0.403899 	 0.396711 	 0.399075
15.35 	 0.347577 	 0.350201 	 0.354685
15.4 	 0.289065 	 0.302816 	 0.309576
15.45 	 0.229175 	 0.254682 	 0.263747
15.5 	 0.168722 	 0.205927 	 0.217197
15.55 	 0.108518 	 0.156677 	 0.169928
15.6 	 0.0493769 	 0.10706 	 0.121938
15.65 	 -0.00788841 	 0.0572013 	 0.0732281
15.7 	 -0.0624645 	 0.0072285 	 0.0237982
15.75 	 -0.113538 	 -0.0427316 	 -0.0263518
15.8 	 -0.160296 	 -0.0925523 	 -0.0772219
15.85 	 -0.201924 	 -0.142107 	 -0.128812
15.9 	 -0.237611 	 -0.191268 	 -0.181122
15.95 	 -0.266542 	 -0.239909 	 -0.234153
16 	 -0.287903 	 -0.287903 	 -0.287903
16.05 	 -0.308589 	 -0.33513 	 -0.340992
16.1 	 -0.335494 	 -0.381489 	 -0.392037
16.15 	 -0.36781 	 -0.426888 	 -0.441039
16.2 	 -0.404728 	 -0.471234 	 -0.487997
16.25 	 -0.445439 	 -0.514433 	 -0.532911
16.3 	 -0.489135 	 -0.556392 	 -0.575782
16.35 	 -0.535007 	 -0.597018 	 -0.616609
16.4 	 -0.582246 	 -0.636217 	 -0.655393
16.45 	 -0.630043 	 -0.673897 	 -0.692133
16.5 	 -0.677591 	 -0.709963 	 -0.72683
16.55 	 -0.72408 	 -0.744324 	 -0.759483
16.6 	 -0.768701 	 -0.776885 	 -0.790092
16.65 	 -0.810646 	 -0.807553 	 -0.818658
16.7 	 -0.849106 	 -0.836235 	 -0.84518
16.75 	 -0.883273 	 -0.862837 	 -0.869658
16.8 	 -0.912337 	 -0.887268 	 -0.892093
16.85 	 -0.935491 	 -0.909432 	 -0.912485
16.9 	 -0.951924 	 -0.929237 	 -0.930833
16.95 	 -0.960829 	 -0.94659 	 -0.947137
17 	 -0.961397 	 -0.961397 	 -0.961397
17.05 	 -0.957402 	 -0.973587 	 -0.973448
17.1 	 -0.953112 	 -0.983174 	 -0.983123
17.15 	 -0.948463 	 -0.990193 	 -0.990422
17.2 	 -0.943388 	 -0.994679 	 -0.995345
17.25 	 -0.937822 	 -0.996668 	 -0.997893
17.3 	 -0.931701 	 -0.996196 	 -0.998064
17.35 	 -0.924958 	 -0.993298 	 -0.995859
17.4 	 -0.917528 	 -0.988009 	 -0.991278
17.45 	 -0.909346 	 -0.980365 	 -0.984322
17.5 	 -0.900346 	 -0.970401 	 -0.974989
17.55 	 -0.890463 	 -0.958153 	 -0.963281
17.6 	 -0.879632 	 -0.943657 	 -0.949196
17.65 	 -0.867787 	 -0.926947 	 -0.932736
17.7 	 -0.854862 	 -0.908059 	 -0.9139
